targa,tratta,volte
433971,27-9-26-10-23-15-5-8-13-,1
439184,9-15-1-4-,1
436664,26-10-23-16-4-,1
6275301,16-,1
6594604,22-1-12-25-20-2-16-4-,1
174816,24-6-,1
6590410,5-,1
32471,15-5-14-11-19-20-,1
6588039,9-,1
795796,10-,1
116824,9-15-,1
684056,9-26-10-4-,1
469088,10-6-,1
6135504,12-25-20-2-4-21-,1
100011,12-20-2-16-9-10-23-15-8-,1
737618,9-10-15-14-2-16-,1
877161,9-26-10-23-15-5-8-13-,1
6592713,27-,1
346260,22-1-12-14-19-8-3-13-,1
5612345,1-12-5-8-3-,1
3125178,22-12-4-,1
6603468,23-,1
750761,9-10-,1
6602647,15-,1
3510051,8-,1
76014,26-10-7-17-16-4-,1
88857,21-,1
1510265,22-1-12-,1
6587851,12-,1
6605452,1-,1
451683,1-12-14-19-8-3-,1
78423,6-24-17-7-,1
1045544,27-,1
6585284,15-,1
1192286,1-16-,1
204420,14-,2
6606184,27-26-21-,1
1949565,10-,1
59390,26-4-,1
5613544,19-8-12-14-,1
201145,14-19-,1
347972,11-19-20-2-16-4-21-,1
6602573,12-,1
6592577,26-10-,1
6601739,24-,1
6582792,16-,1
6595659,7-,1
6609767,11-,1
65286,27-9-26-10-7-17-16-4-21-,1
2696699,27-9-21-,1
918019,7-,1
329204,6-24-,1
78886,7-17-,1
5604135,9-26-10-23-15-,1
654388,1-,1
1217111,9-10-,1
94684,19-25-20-,1
1064985,27-21-27-21-,1
205592,24-6-,1
850344,11-19-20-2-16-4-,1
6602496,8-,1
33940,22-1-12-,1
6591054,24-,1
68454,19-25-20-2-7-,1
535648,1-12-14-,1
6603818,10-,1
2522071,21-,1
323956,23-15-5-20-,1
591380,6-,1
133856,7-,1
628796,15-5-,1
1724415,11-,1
5747589,21-,1
6607228,22-1-3-13-,1
929599,21-,1
6526648,9-10-,1
43705,13-,1
6603906,23-,1
6609067,23-,1
6589191,13-,1
6611324,26-,1
332017,19-8-3-13-22-1-12-14-,1
185608,7-,1
216898,7-17-,1
6607873,20-2-,1
72247,9-26-10-23-15-5-8-3-20-2-16-4-,1
3659144,9-10-15-5-,1
2156674,26-,1
1572833,22-1-12-20-2-16-4-21-27-9-26-10-15-5-8-13-,1
1042361,4-,1
1804806,20-,1
11351,22-,1
1154715,26-,1
3093875,9-10-23-15-8-,1
86295,6-,1
2357554,9-26-15-5-14-,1
5616311,24-17-23-15-5-8-12-25-20-2-7-6-,1
2766184,7-17-,1
64621,17-23-15-5-14-11-19-25-20-7-,1
456940,17-23-15-5-8-12-25-20-2-7-,1
6591559,20-,1
136578,2-16-,1
47422,27-9-26-10-23-,1
5613477,11-,1
246146,27-9-5-8-,1
614593,9-26-,1
6594576,21-,1
299286,22-1-12-,1
55167,27-9-26-10-23-,1
6610611,8-3-13-,1
6591279,17-16-,1
1062638,7-17-,1
6606025,20-,1
4063728,12-23-5-,1
91150,16-4-27-9-26-10-,1
191254,7-,1
31045,7-,1
355237,11-19-25-20-2-16-4-21-,1
6585965,20-,1
237891,9-,1
6607472,16-,1
2146513,9-26-10-23-5-8-3-13-,1
6591079,9-,1
753952,6-,1
2048277,21-,1
6498667,21-,1
140450,9-26-5-8-3-,1
3029219,27-9-,1
6601187,20-,1
279695,8-,1
2420157,15-,1
1178243,21-27-,1
686709,16-4-26-23-,1
6580477,26-10-15-5-,1
6593116,24-,1
6598195,21-,1
6595368,7-,1
668126,9-26-10-23-15-5-8-3-13-,1
5630185,4-15-,1
3793873,12-20-2-16-4-,1
450376,24-,1
1029635,15-,1
44336,26-7-,1
126112,1-,1
268793,9-23-,1
